date,pick_type,rank,player,batter_id,team,game,pitcher,sportsbook,book_odds,model_prob,book_implied,edge,stake,result,pnl,2026-03-30,highest_probability_top10,10,Juan Soto,665742,NYM,NYM @ STL,Kyle Leahy,William Hill,390,22.44,20.41,2.03,100.00,No HR,-100.00,,alert_sent
,,,,,,,,,,,,,,,,2026-03-31,highest_probability_top10,10,Sal Stewart,701398,CIN,PIT @ CIN,Bubba Chandler,William Hill,350,20.86,22.22,-1.36,100.00,,,,
2026-04-01,best_value_top10,1,Jared Young,676724,NYM,NYM @ STL,Matthew Liberatore,William Hill,850,14.29,10.53,3.76,100.00,,,,,,,,,,,,,,,,,,,,
2026-04-01,best_value_top10,2,Giancarlo Stanton,519317,NYY,NYY @ SEA,George Kirby,BetOnline,300,30.76,25.00,5.76,100.00,,,,,,,,,,,,,,,,,,,,
2026-04-01,best_value_top10,3,Kevin McGonigle,805808,DET,DET @ AZ,Zac Gallen,William Hill,525,18.96,16.00,2.96,100.00,,,,,,,,,,,,,,,,,,,,
2026-04-01,best_value_top10,4,Aaron Judge,592450,NYY,NYY @ SEA,George Kirby,William Hill,290,29.77,25.64,4.13,100.00,,,,,,,,,,,,,,,,,,,,
2026-04-01,best_value_top10,5,JJ Wetherholt,802139,STL,NYM @ STL,Freddy Peralta,William Hill,750,17.22,11.76,5.46,100.00,,,,,,,,,,,,,,,,,,,,
2026-04-01,best_value_top10,6,Dansby Swanson,621020,CHC,LAA @ CHC,Yusei Kikuchi,William Hill,1100,11.44,8.33,3.11,100.00,,,,,,,,,,,,,,,,,,,,
2026-04-01,best_value_top10,7,Miguel Amaya,665804,CHC,LAA @ CHC,Yusei Kikuchi,ESPN BET,1000,12.05,9.09,2.96,100.00,,,,,,,,,,,,,,,,,,,,
2026-04-01,best_value_top10,8,Michael Busch,683737,CHC,LAA @ CHC,Yusei Kikuchi,William Hill,950,12.62,9.52,3.10,100.00,,,,,,,,,,,,,,,,,,,,
2026-04-01,best_value_top10,9,Reese McGuire,624512,CWS,CWS @ MIA,Sandy Alcantara,William Hill,850,13.46,10.53,2.93,100.00,,,,,,,,,,,,,,,,,,,,
2026-04-01,best_value_top10,10,Carson Kelly,608348,CHC,LAA @ CHC,Yusei Kikuchi,William Hill,1100,10.57,8.33,2.24,100.00,,,,,,,,,,,,,,,,,,,,
2026-04-01,highest_probability_top10,1,Giancarlo Stanton,519317,NYY,NYY @ SEA,George Kirby,BetOnline,300,30.76,25.00,5.76,100.00,,,,,,,,,,,,,,,,,,,,
2026-04-01,highest_probability_top10,2,Shohei Ohtani,660271,LAD,CLE @ LAD,Gavin Williams,William Hill,210,30.67,32.26,-1.59,100.00,,,,,,,,,,,,,,,,,,,,
2026-04-01,highest_probability_top10,3,Aaron Judge,592450,NYY,NYY @ SEA,George Kirby,William Hill,290,29.77,25.64,4.13,100.00,,,,,,,,,,,,,,,,,,,,
2026-04-01,highest_probability_top10,4,Byron Buxton,621439,MIN,MIN @ KC,Noah Cameron,William Hill,280,23.29,26.32,-3.03,100.00,,,,,,,,,,,,,,,,,,,,
2026-04-01,highest_probability_top10,5,Cal Raleigh,663728,SEA,NYY @ SEA,Cam Schlittler,William Hill,305,19.14,24.69,-5.55,100.00,,,,,,,,,,,,,,,,,,,,
2026-04-01,highest_probability_top10,6,Kevin McGonigle,805808,DET,DET @ AZ,Zac Gallen,William Hill,525,18.96,16.00,2.96,100.00,,,,,,,,,,,,,,,,,,,,
2026-04-01,highest_probability_top10,7,Spencer Torkelson,679529,DET,DET @ AZ,Zac Gallen,BetOnline,450,18.02,18.18,-0.16,100.00,,,,,,,,,,,,,,,,,,,,
2026-04-01,highest_probability_top10,8,Riley Greene,682985,DET,DET @ AZ,Zac Gallen,William Hill,475,16.30,17.39,-1.09,100.00,,,,,,,,,,,,,,,,,,,,
2026-04-01,highest_probability_top10,9,Ben Rice,700250,NYY,NYY @ SEA,George Kirby,William Hill,370,16.16,21.28,-5.12,100.00,,,,,,,,,,,,,,,,,,,,2026-04-01 06:52 PM ET
2026-04-01,highest_probability_top10,10,Trent Grisham,663757,NYY,NYY @ SEA,George Kirby,William Hill,525,15.84,16.00,-0.16,100.00,,,,,,,,,,,,,,,,,,,,
